mRNA,CKR,HSR,FoldChange,log2FC
LOC_Os02g54090,12.3,0.4,0.10526315789473684,-3.2479275134435857
LOC_Os02g54180,36.5,4.1,0.13599999999999998,-2.878321443411748
LOC_Os02g54360,7.0,0.0,0.125,-3.0
LOC_Os02g54450,7.2,0.0,0.12195121951219513,-3.035623909730721
LOC_Os02g54470,70.6,14.4,0.2150837988826816,-2.217029236569355
LOC_Os02g54530,17.6,0.0,0.05376344086021505,-4.217230716220669
LOC_Os02g54540,41.9,0.0,0.023310023310023312,-5.422905742612183
LOC_Os02g54570,37.3,0.0,0.026109660574412535,-5.259272487037594
LOC_Os02g54700,48.5,10.7,0.23636363636363636,-2.0809199953835673
LOC_Os02g54710,3.4,0.0,0.22727272727272727,-2.137503523749935
LOC_Os02g54770,14.1,1.7,0.17880794701986757,-2.4835172371616103
LOC_Os02g54870,8.1,0.0,0.10989010989010989,-3.1858665453113337
LOC_Os02g54974,13.0,1.1,0.15,-2.736965594166206
LOC_Os02g55000,8.4,0.8,0.19148936170212766,-2.384663850235325
LOC_Os02g55010,7.7,0.8,0.20689655172413796,-2.273018494406416
LOC_Os02g55060,87.0,15.6,0.18863636363636366,-2.4063202821777345
LOC_Os02g55140,66.2,10.4,0.16964285714285715,-2.5594274086140185
LOC_Os02g55410,8.2,0.0,0.10869565217391305,-3.2016338611696504
LOC_Os02g55420,16.8,0.4,0.07865168539325842,-3.6683785089087935
LOC_Os02g55870,9.9,0.8,0.1651376146788991,-2.598259323334614
LOC_Os02g55890,28.4,3.5,0.15306122448979592,-2.7078192485066896
LOC_Os02g55940,12.4,1.5,0.18656716417910446,-2.4222330006830477
LOC_Os02g56014,63.2,12.5,0.2102803738317757,-2.249613890071472
LOC_Os02g56020,7.7,0.5,0.1724137931034483,-2.5360529002402097
LOC_Os02g56130,28.5,1.4,0.08135593220338982,-3.6196086435280477
LOC_Os02g56180,20.8,4.3,0.24311926605504586,-2.0402638702137272
LOC_Os02g56210,9.1,1.4,0.2376237623762376,-2.0732489820306386
LOC_Os02g56260,3.9,0.0,0.2040816326530612,-2.292781749227846
LOC_Os02g56520,19.3,2.3,0.1625615763546798,-2.6209417978267227
LOC_Os02g56540,17.9,1.1,0.11111111111111112,-3.169925001442312
LOC_Os02g56770,9.4,0.0,0.09615384615384615,-3.37851162325373
LOC_Os02g56930,9.4,0.0,0.09615384615384615,-3.37851162325373
LOC_Os02g56960,66.9,7.1,0.11929307805596463,-3.0674177613601072
LOC_Os02g57040,28.3,3.7,0.16040955631399317,-2.6401680027446104
LOC_Os02g57080,5.6,0.0,0.15151515151515152,-2.722466024471091
LOC_Os02g57090,3.5,0.0,0.2222222222222222,-2.1699250014423126
LOC_Os02g57160,6.1,0.4,0.19718309859154928,-2.342392197447078
