mRNA	CKR
LOC_Os01g10420	0
LOC_Os01g10430	6
LOC_Os01g10440	19.3
LOC_Os01g10450	8.4
LOC_Os01g10460	3.8
LOC_Os01g10470	0
LOC_Os01g10480	0
LOC_Os01g10490	0
LOC_Os01g10504	0
LOC_Os01g10520	0
LOC_Os01g10530	4.8
LOC_Os01g10550	0
LOC_Os01g10560	0
LOC_Os01g10570	0
LOC_Os01g10580	4.8
LOC_Os01g10590	0
LOC_Os01g10600	0.1
LOC_Os01g10610	34.9
LOC_Os01g10630	0.6
LOC_Os01g10640	0
LOC_Os01g10650	0
LOC_Os01g10660	0
LOC_Os01g10670	0
LOC_Os01g10680	7
LOC_Os01g10690	1.4
LOC_Os01g10700	0
LOC_Os01g10710	0
LOC_Os01g10720	0
LOC_Os01g10729	0
LOC_Os01g10740	0
LOC_Os01g10750	0
LOC_Os01g10760	0
LOC_Os01g10770	0
LOC_Os01g10780	0
LOC_Os01g10790	7
LOC_Os01g10800	1
LOC_Os01g10810	0
LOC_Os01g10820	31.5
LOC_Os01g10830	22.4
LOC_Os01g10840	16.1
LOC_Os01g10850	7.4
LOC_Os01g10860	0.9
LOC_Os01g10870	1.6
LOC_Os01g10880	5.7
LOC_Os01g10890	2
LOC_Os01g10900	0
LOC_Os01g10910	0
LOC_Os01g10920	0
LOC_Os01g10930	6.2
LOC_Os01g10940	0
LOC_Os01g10950	34.1
LOC_Os01g10960	0.5
LOC_Os01g10970	0
LOC_Os01g10980	0.6
LOC_Os01g10990	0
LOC_Os01g11000	0
LOC_Os01g11010	26.3
LOC_Os01g11020	2.9
LOC_Os01g11030	0
LOC_Os01g11040	14.1
LOC_Os01g11054	15.2
LOC_Os01g11070	6.4
LOC_Os01g11080	0
LOC_Os01g11110	1.4
LOC_Os01g11120	10.1
LOC_Os01g11130	0
LOC_Os01g11140	0
LOC_Os01g11150	0
LOC_Os01g11160	2.5
LOC_Os01g11170	0
LOC_Os01g11190	0
LOC_Os01g11200	0
LOC_Os01g11210	0.6
LOC_Os01g11220	0
LOC_Os01g11230	41.4
LOC_Os01g11240	18.7
LOC_Os01g11250	0.2
LOC_Os01g11260	1.6
LOC_Os01g11270	0.9
LOC_Os01g11280	0
LOC_Os01g11289	0
